aadhaar_id,name,phone,address,dob,flagged
1948-7638-7442,Ritu Khanna,9676447978,91 Pune,1986-10-22,False
3074-3569-3076,Vijay Nair,9268375474,59 Mumbai,1985-08-22,False
5077-9438-1834,Pooja Sharma,9811833178,48 Bengaluru,1979-01-22,False
8166-2109-6804,Rohit Chauhan,9675127255,6 Bengaluru,1973-08-10,False
1628-9292-8390,Geeta Khanna,9676669716,87 Faridabad,1972-07-09,False
0237-2440-5733,Shweta Singh,9078269550,22 Lucknow,1994-08-28,True
9420-7994-9682,Anita Sharma,9470876137,14 Mumbai,2000-10-22,False
5612-0415-4210,Sanjay Saxena,9078874549,30 Mumbai,1992-06-05,True
5327-3041-4661,Pooja Verma,9839956816,62 Gurugram,1978-09-04,True
3363-0980-7052,Amit Gupta,9878101081,48 Faridabad,1974-01-20,False
0260-0523-1491,Shweta Singh,9331618814,21 Faridabad,1984-07-26,False
6832-1048-2098,Sunita Verma,9593282507,55 Mumbai,1983-06-15,False
1782-0611-0772,Vijay Joshi,9032588327,22 Faridabad,1976-10-05,False
9805-5567-5921,Geeta Joshi,9210835799,19 Delhi,1989-12-11,True
5705-9052-4182,Anjali Joshi,9672161121,82 Jaipur,1978-05-12,False
9485-2088-0556,Rahul Yadav,9949119070,38 Kolkata,1987-05-19,False
3305-5097-0534,Vikas Joshi,9919652003,97 Jaipur,1978-03-01,False
